disease_1,disease_2,edge_weight
C1969343,C1863512,0.010526318
C1969343,C1853371,0.004761906
C1969343,C0272052,0.011764709
C1969343,C2675866,0.0070175454
C1969343,C1864839,0.017142862
C1969343,C0152264,0.016666671
C1833382,C2674218,0.0018691593
C1833382,C1852092,0.08000002
C1833382,C0034091,0.057142872000000004
C1833382,C0007785,0.022222227999999997
C1833382,C0020481,0.03076924
C1833382,C0002876,0.010526318
C1833382,C2675212,0.033333343
C1833382,C0740302,0.100000024
C1833382,C1833382,0.011764709
C1833382,C2675512,0.08000002
C1833382,C1838457,0.0071428590000000005
C1833382,C0004096,0.010000003
C1833382,C1266144,0.0046511637
C1833382,C1836861,0.009523812
C1833382,C1857775,0.020000005
C2675512,C0011880,0.01034483
C2675512,C0011880,0.0018867929999999999
C2675512,C1852092,0.0018518523
C2675512,C1852093,0.0018181822
C2675512,C2678338,0.0035087727
C2675512,C0020481,0.0050000013
C2675512,C1838100,0.0018691593
C2675512,C2675212,0.0036363644
C2675512,C0020474,0.0018691593
C2675512,C0740302,0.007352943000000001
C2675512,C1969343,0.0016949157
C2675512,C1833382,0.0018867929999999999
C2675512,C2675512,0.0017241384
C2675512,C1863512,0.006201551800000001
C2675512,C1838457,0.0036697254999999997
C2675512,C1853297,0.0016528929
C2675512,C0272052,0.011111113999999998
C2675512,C1837915,0.008474578
C2675512,C1864623,0.00775194
C2675512,C0032463,0.02058824
C2675512,C2930930,0.0065573785
C2675512,C1864839,0.0018018023
C2675512,C0152264,0.007079648000000001
C1863512,C2674218,0.011764709
C1863512,C0034091,0.018181823
C1863512,C0007785,0.011111113999999998
C1863512,C1838100,0.018181823
C1863512,C0020474,0.005405406999999999
C1863512,C1833382,0.011764709
C1863512,C1853371,0.009090912
C1863512,C1853297,0.022222227999999997
C1863512,C0004096,0.0044444455
C1863512,C1266144,0.025000006
C1863512,C2675866,0.010526318
C1863512,C1837915,0.0066666686999999995
C1863512,C1864623,0.005405406999999999
C1863512,C0006277,0.008695655
C1863512,C2930930,0.025000006
C1863512,C1864839,0.022222227999999997
C1863512,C1857775,0.014285718000000001
C1838457,C1852092,0.011111113999999998
C1838457,C1852093,0.008000001
C1838457,C0007785,0.009090912
C1838457,C0002876,0.044444457
C1838457,C2675212,0.009090912
C1838457,C1969343,0.016666671
C1838457,C1833382,0.005405406999999999
C1838457,C1838457,0.0068965536
C1838457,C1853371,0.008000001
C1838457,C1853297,0.00769231
C1838457,C0272052,0.013333336999999999
C1838457,C1266144,0.038461547
C1838457,C2675866,0.005405406999999999
C1838457,C1837915,0.027272735
C1838457,C0032463,0.0066666686999999995
C1838457,C0006277,0.013333336999999999
C1838457,C1836861,0.012500003
C1838457,C1864839,0.04761906
C1853371,C2674218,0.066666685
C1853371,C1852092,0.025000006
C1853371,C1852093,0.016666671
C1853371,C0007785,0.011111113999999998
C1853371,C2678338,0.04000001
C1853371,C0002876,0.08000002
C1853371,C2675212,0.012500003
C1853371,C0020474,0.100000024
C1853371,C1969343,0.007407409
C1853371,C1863512,0.010526318
C1853371,C1853371,0.004761906
C1853371,C1864623,0.010000003
C1853371,C0006277,0.022222227999999997
C1853297,C0011880,0.020000005
C1853297,C0342277,0.014285718000000001
C1853297,C1852093,0.010000003
C1853297,C0431693,0.028571436000000002
C1853297,C0020481,0.057142872000000004
C1853297,C1838100,0.011111113999999998
C1853297,C2675212,0.066666685
C1853297,C0740302,0.0068965536
C1853297,C2675512,0.009523812
C1853297,C1838457,0.004545456
C1853297,C1837915,0.009090912
C1853297,C0032463,0.018181823
C0272052,C0011880,0.010526318
C0272052,C0007785,0.016666671
C0272052,C2678338,0.005263159
C0272052,C1838100,0.044444457
C0272052,C0020474,1.8486344e-06
C0272052,C1969343,0.008695655
C0272052,C1833382,0.021052636
