disease_1,disease_2,edge_weight
DOID:0111101,DOID:5453,0.005405406999999999
DOID:0111101,DOID:0111100,0.0058823545
DOID:0111101,DOID:6713,0.0043478273
DOID:0111101,DOID:0111101,0.012500003
DOID:0111101,DOID:0110918,0.0030075195
DOID:0111101,DOID:0111102,0.012903228000000001
DOID:0111101,DOID:0110919,0.012121215
DOID:0111101,DOID:14557,0.005714286999999999
DOID:0111101,DOID:0090105,0.005128206
DOID:0111101,DOID:0111089,0.0044444455
DOID:0111101,DOID:0111105,0.0062500015
DOID:0111101,DOID:0050641,0.012500003
DOID:0111101,DOID:4769,0.009836068
DOID:0111101,DOID:0110757,0.0046511637
DOID:0111101,DOID:0060474,0.012903228000000001
DOID:0111101,DOID:8997,0.0037037046
DOID:0111101,DOID:0111091,0.0043478273
DOID:0111101,DOID:0060638,0.0028985515000000002
DOID:0111101,DOID:0060639,0.0037037046
DOID:0111101,DOID:0050650,0.00425532
DOID:0111101,DOID:13099,0.005555556999999999
DOID:0110918,DOID:9351,0.007407409
DOID:0110918,DOID:0110741,0.036363646
DOID:0110918,DOID:0110918,0.025000006
DOID:0110918,DOID:1171,0.013333336999999999
DOID:0110918,DOID:13809,0.044444457
DOID:0110918,DOID:0111103,0.012500003
DOID:0110918,DOID:0111105,0.022222227999999997
DOID:0110918,DOID:0050641,0.005714286999999999
DOID:0110918,DOID:0060474,0.013333336999999999
DOID:0110918,DOID:14221,0.010000003
DOID:0110918,DOID:0111091,0.012500003
DOID:0110918,DOID:0111106,0.0046511637
DOID:0110918,DOID:0060652,0.100000024
DOID:0110918,DOID:0111107,0.011764709
DOID:0110918,DOID:0111077,0.0071428590000000005
DOID:0110918,DOID:0060639,0.005714286999999999
DOID:0110918,DOID:5844,0.009523812
DOID:0110918,DOID:0050650,0.033333343
DOID:0110918,DOID:13099,0.028571436000000002
DOID:0110918,DOID:13381,0.016666671
DOID:1171,DOID:0110916,0.0068965536
DOID:1171,DOID:9351,0.020000005
DOID:1171,DOID:1837,0.01538462
DOID:1171,DOID:0110741,0.04000001
DOID:1171,DOID:0111100,0.009090912
DOID:1171,DOID:0111099,0.025000006
DOID:1171,DOID:6713,0.0018348626999999998
DOID:1171,DOID:0111101,0.020000005
DOID:1171,DOID:1171,0.028571436000000002
DOID:1171,DOID:1338,0.022222227999999997
DOID:1171,DOID:13809,0.018181823
DOID:1171,DOID:0111103,0.013333336999999999
DOID:1171,DOID:1339,0.009523812
DOID:1171,DOID:0111089,0.025000006
DOID:1171,DOID:0111105,0.025000006
DOID:1171,DOID:0050641,0.010526318
DOID:1171,DOID:4769,0.028571436000000002
DOID:1171,DOID:0060474,0.0066666686999999995
DOID:1171,DOID:6132,0.009090912
DOID:1171,DOID:14221,0.011111113999999998
DOID:1171,DOID:0111091,0.0044444455
DOID:1171,DOID:0060063,0.008695655
DOID:1171,DOID:0050650,0.016666671
DOID:1338,DOID:0110916,0.0068965536
DOID:1338,DOID:9351,0.031250007
DOID:1338,DOID:1837,0.0068965536
DOID:1338,DOID:5453,0.0048780496999999996
DOID:1338,DOID:0111100,0.007407409
DOID:1338,DOID:0111099,0.0062500015
DOID:1338,DOID:6713,0.0068965536
DOID:1338,DOID:0111101,0.011111113999999998
DOID:1338,DOID:0110918,0.00769231
DOID:1338,DOID:1171,0.0071428590000000005
DOID:1338,DOID:0111102,0.013333336999999999
DOID:1338,DOID:0110919,0.0066666686999999995
DOID:1338,DOID:0090016,0.005405406999999999
DOID:1338,DOID:14557,0.0058823545
DOID:1338,DOID:0111103,0.010000003
DOID:1338,DOID:0090105,0.007407409
DOID:1338,DOID:0111089,0.013333336999999999
DOID:1338,DOID:0111104,0.007407409
DOID:1338,DOID:0111105,0.010714288999999998
DOID:1338,DOID:2841,0.010526318
DOID:1338,DOID:0050641,0.00769231
DOID:1338,DOID:4769,0.027777785
DOID:1338,DOID:0110757,0.0040816334000000004
DOID:1338,DOID:8997,0.009756099
DOID:1338,DOID:6132,0.016216218
DOID:1338,DOID:14221,0.009375002
DOID:1338,DOID:0111106,0.007407409
DOID:1338,DOID:0060638,0.005263159
DOID:1338,DOID:0060652,0.016326534
DOID:1338,DOID:0111107,0.0071428590000000005
DOID:1338,DOID:0060639,0.009523812
DOID:1338,DOID:0060063,0.007407409
DOID:1338,DOID:5844,0.0064516140000000005
DOID:1338,DOID:0050650,0.021428577999999997
DOID:1338,DOID:14118,0.0060606077
DOID:0111102,DOID:0110916,0.01538462
DOID:0111102,DOID:9351,0.020000005
DOID:0111102,DOID:0110741,0.009090912
DOID:0111102,DOID:5453,0.07500002
DOID:0111102,DOID:0111100,0.0036697254999999997
DOID:0111102,DOID:0111101,0.057142872000000004
DOID:0111102,DOID:0110918,0.044444457
DOID:0111102,DOID:0111102,0.018181823
DOID:0111102,DOID:0090016,0.04000001
DOID:0111102,DOID:14557,0.009523812
DOID:0111102,DOID:1339,0.025000006
DOID:0111102,DOID:0111089,0.07500002
DOID:0111102,DOID:0111105,0.010526318
DOID:0111102,DOID:2841,0.057142872000000004
DOID:0111102,DOID:4769,0.013333336999999999
DOID:0111102,DOID:0060334,0.009090912
DOID:0111102,DOID:6132,0.0044444455
DOID:0111102,DOID:0111077,0.008695655
DOID:0111102,DOID:0060063,0.016666671
DOID:0110919,DOID:0110916,0.01538462
DOID:0110919,DOID:1837,0.008000001
DOID:0110919,DOID:0110741,0.018181823
DOID:0110919,DOID:5453,0.0017857148000000002
DOID:0110919,DOID:6713,0.020000005
DOID:0110919,DOID:0111101,0.016666671
DOID:0110919,DOID:1171,0.04290975599999999
DOID:0110919,DOID:1338,0.014285718000000001
DOID:0110919,DOID:13809,0.011111113999999998
DOID:0110919,DOID:0090016,0.016666671
DOID:0110919,DOID:0111103,0.018181823
DOID:0110919,DOID:0090105,0.018181823
DOID:0110919,DOID:0111089,0.0050000013
DOID:0110919,DOID:0111104,0.018181823
DOID:0110919,DOID:0111105,0.020000005
DOID:0110919,DOID:2841,0.04000001
DOID:0110919,DOID:0050641,0.0060606077
DOID:0110919,DOID:4769,1.8486344e-06
DOID:0110919,DOID:0060474,0.008000001
DOID:0110919,DOID:0060334,0.019047624
DOID:0110919,DOID:8997,0.004166668
DOID:0110919,DOID:14221,0.036381494
DOID:0110919,DOID:0111106,0.0060606077
DOID:0110919,DOID:0111107,0.00769231
DOID:0110919,DOID:0060639,0.013333336999999999
DOID:13809,DOID:9351,0.009090912
DOID:13809,DOID:1837,0.025000006
DOID:13809,DOID:0110741,0.0018348626999999998
DOID:13809,DOID:5453,0.020000005
DOID:13809,DOID:0111099,0.028571436000000002
DOID:13809,DOID:6713,0.022222227999999997
DOID:13809,DOID:1171,0.018181823
DOID:13809,DOID:0110919,0.013333336999999999
DOID:13809,DOID:13809,0.009523812
DOID:13809,DOID:14557,0.025000006
DOID:13809,DOID:1339,0.025000006
DOID:13809,DOID:0111089,0.021052636
DOID:13809,DOID:0111104,0.028571436000000002
DOID:13809,DOID:2841,0.0066666686999999995
